Date,Equity_russel_3000,Equity_global_MSCI_ACWI,Bond_US_Barclay_ETF,Bond_US_Barclay_TIPS,Bond_US_HighYield_bond_Index,IYR,FOF_Fund of Fund,PE
2011-05,-0.013371517,-0.025217148,0.013050121,0.00307474,0.004950728,0.010133511,-0.01082317,-0.00606329
2011-06,-0.019534825,-0.017476286,-0.002927729,0.008056276,-0.009816671,-0.031059758,-0.013008627,0.04173144
2011-07,-0.023911411,-0.017319057,0.015868025,0.039140774,0.012236251,0.002155919,0.00388507,-0.00025391
2011-08,-0.062196006,-0.075260494,0.014609963,0.008141062,-0.039074673,-0.053119299,-0.026370946,-0.00020679
2011-09,-0.079070803,-0.096516644,0.007274611,-0.002344448,-0.035261775,-0.106682198,-0.027883917,0.07186531
2011-10,0.113653776,0.106078962,0.001074169,0.018613152,0.058769191,0.131896409,0.010686012,-0.00038715
2011-11,-0.005231432,-0.032086595,-0.000867545,0.007726674,-0.021624534,-0.036687669,-0.009781488,-0.00058815
2011-12,0.006505988,-0.00312864,0.010990831,0.000363385,0.024914348,0.041074039,-0.00552053,-0.00834958
2012-01,0.049341422,0.057226804,0.008780703,0.022957608,0.028287304,0.066009496,0.017870031,0.00097769
2012-02,0.039963059,0.048255171,-0.000229649,-0.00330244,0.022622978,-0.006935307,0.015065211,0.00176046
2012-03,0.029270981,0.004127376,-0.005479237,-0.010759584,-0.001037308,0.044929731,0.000479047,0.00716729
2012-04,-0.007673153,-0.013891389,0.01108645,0.020240582,0.01027314,0.025842716,-0.002621321,0.00281491
2012-05,-0.064118993,-0.093376335,0.009048261,0.016732561,-0.011608431,-0.042090415,-0.017155701,-7.58E-06
2012-06,0.037464041,0.04741929,0.000392036,-0.00555517,0.020241984,0.053652512,-0.003482449,0.03654069
2012-07,0.008735387,0.012527634,0.013793142,0.018958173,0.019340658,0.023303132,0.007794909,0.00021745
2012-08,0.022463406,0.019365863,0.000653324,-0.002878191,0.011777339,0.003056648,0.007501369,0.00168863
2012-09,0.024636301,0.029304029,0.001376526,0.005085736,0.013977527,-0.011177112,0.008736088,0.0292722
2012-10,-0.018450974,-0.007569817,0.001966868,0.008649868,0.008316116,-0.00590242,-0.002651957,0.00098239
2012-11,0.005062358,0.010848756,0.001577997,0.004779337,0.007178599,-0.005781238,0.003950005,0.05845989
2012-12,0.010192972,0.021374459,-0.001423915,-0.006510812,0.015668704,0.028854713,0.011894394,0.0090863
2013-01,0.053664453,0.04518028,-0.006994182,-0.00672326,0.013484914,0.040204094,0.021282759,0.00024535
2013-02,0.011022794,-0.001886792,0.005012312,0.000307671,0.004698062,0.012635742,0.002787522,0.00020225
2013-03,0.037599016,0.01588466,0.000798622,0.00283654,0.010280905,0.028649651,0.008853226,0.00683745
2013-04,0.015296302,0.025995667,0.010118666,0.007940294,0.018596236,0.057282606,0.008237302,0.00152127
2013-05,0.021224822,-0.00603649,-0.01784198,-0.043581161,-0.005450702,-0.064933257,0.006340348,0.00178526
2013-06,-0.014577484,-0.030992129,-0.015468543,-0.035845588,-0.026429116,-0.023827084,-0.013942572,0.02237741
2013-07,0.053544023,0.046878952,0.001367191,0.007296326,0.018729724,0.002408503,0.010122846,0.00057553
2013-08,-0.029989187,-0.022846251,-0.00511164,-0.01455975,-0.006116362,-0.065325044,-0.007113043,0.0008916
2013-09,0.035543514,0.049700533,0.009466908,0.014479371,0.010135457,0.034501751,0.013718826,0.04117093
2013-10,0.041273354,0.039364514,0.008084972,0.005497906,0.0245887,0.037309877,0.012590492,0.00395932
2013-11,0.026858365,0.012439878,-0.003744189,-0.010827057,0.004460401,-0.046395635,0.010632873,0.00324825
2013-12,0.024685947,0.016167143,-0.005651148,-0.014679504,0.00546932,0.00904701,0.013064072,0.0663456
2014-01,-0.032491504,-0.040704932,0.014775381,0.019765195,0.007411182,0.034400725,-0.003923465,0.00363856
2014-02,0.045118816,0.046463564,0.005316944,0.004444768,0.020128507,0.047509545,0.01616712,0.00148875
2014-03,0.003783476,0.002170044,-0.001703273,-0.00471527,0.002183042,0.001451921,-0.006486049,0.11380255
2014-04,0.000159954,0.007469223,0.008438521,0.013483965,0.006604013,0.030294124,-0.006267361,0.00576418
2014-05,0.019643135,0.017967109,0.011385312,0.02121539,0.00958209,0.027968962,0.011818551,-0.00059712
2014-06,0.023439993,0.017128081,0.000516774,0.002992958,0.008474377,0.010125952,0.009910019,0.04349594
2014-07,-0.020850529,-0.013317784,-0.002507987,0.00028085,-0.013298307,-0.001114393,-0.003555144,0.00386835
2014-08,0.039866456,0.020116301,0.011039401,0.004351946,0.015250913,0.03472317,0.008269337,-6.68E-05
2014-09,-0.02234368,-0.03406326,-0.00678997,-0.024950204,-0.020847514,-0.058905864,-0.001902369,0.05335912
2014-10,0.02640517,0.006237256,0.009829303,0.00849371,0.011554855,0.083526102,-0.006246581,0.00070068
2014-11,0.022132973,0.015186554,0.007096231,0.002629709,-0.007096052,0.027207173,0.012158227,0.0051345
2014-12,-0.001639326,-0.020431168,0.000935664,-0.011306444,-0.014821703,0.008049904,0.003609248,-0.04195067
2015-01,-0.028739191,-0.016278289,0.020967481,0.031475175,0.006817773,0.057131792,0.001317883,-0.00222378
2015-02,0.055629759,0.053956572,-0.009401438,-0.012025162,0.023922711,-0.025975629,0.016937845,0.02135595
2015-03,-0.011784138,-0.017827826,0.00464206,-0.004749006,-0.005469555,0.010745192,0.006575447,0.01757034
2015-04,0.00357979,0.027168283,-0.003587527,0.007387247,0.012088766,-0.048159358,0.002493175,0.00268831
2015-05,0.011681374,-0.004102682,-0.002408893,-0.008210238,0.003000749,-0.003311264,0.010039596,0.04917805
2015-06,-0.018375883,-0.025315873,-0.010904973,-0.009764036,-0.015286425,-0.043979304,-0.010370751,0.00699058
2015-07,0.015629507,0.007721187,0.006952831,0.002072095,-0.005945326,0.04936883,0.001936969,0.00585994
2015-08,-0.062376489,-0.070410985,-0.001438072,-0.007629506,-0.017648039,-0.058005836,-0.019957403,0.01816304
2015-09,-0.030846261,-0.038010738,0.006763993,-0.005891863,-0.025899624,0.016010351,-0.018256511,0.04116104
2015-10,0.07775116,0.077557972,0.000170417,0.002529724,0.027522867,0.062306153,0.008536257,-0.00036293
2015-11,0.003285867,-0.009848024,-0.00264359,-0.000973289,-0.022251081,-0.001990465,0.002995537,-0.00850357
2015-12,-0.02226084,-0.019253438,-0.003230416,-0.007938226,-0.025471864,0.011052791,-0.004217676,-0.00029924
2016-01,-0.057424767,-0.060947516,0.01375818,0.014839601,-0.015765927,-0.041022924,-0.026557077,-0.00011286
2016-02,-0.002885109,-0.008959522,0.007095687,0.011146154,0.004772595,-0.007500009,-0.012014724,0.01618327
2016-03,0.068465702,0.071570791,0.009172118,0.017970439,0.043866172,0.102551225,0.007343607,-0.00394725
2016-04,0.005118977,0.012755486,0.003841171,0.003447075,0.039728297,-0.016696674,0.005214115,-0.0108331
2016-05,0.01548418,-0.001909059,0.000256103,-0.007078663,0.006604155,0.022074232,0.005026031,-0.0086127
2016-06,0.000323586,-0.008147651,0.017967769,0.02079329,0.010686219,0.062431387,-0.00465344,-0.00980202
2016-07,0.038532472,0.042074683,0.006322465,0.008661417,0.025370624,0.03653359,0.015049538,6.71E-05
2016-08,0.000163486,0.00124973,-0.001141871,-0.004480195,0.022280228,-0.033489468,0.004394086,-0.04510937
2016-09,9.34E-05,0.004368594,-0.000588761,0.005489073,0.006513488,-0.014727111,0.003346007,-0.00960177
2016-10,-0.02290201,-0.017732954,-0.007648578,-0.004001085,0.002997667,-0.049603167,-0.00282608,0.0111361
